Mandatory Information,,,,Optional Information,,,,,,,,,,,,,,,,,Unused Information,,,,
Username,Location_Name,Latitude,Longitude,Precipitation_annualAvg_mm,PotentialEvapotranspiration_annualAvg_mm,SurfaceWater_annualAvgFlows_km3,Groundwater_annualAvgRecharge_mm,SoilMoisture_annualAvg_pct,SurfaceWaterDiversion_Percent,SurfaceWaterDiversion_averageInCubicKM,CurrentStorageTrend_mm,Groundwater_Access,SoilMoisture_Access,DripIrrigation,OnsiteReservoirs,GrowMonth_Start,GrowMonth_End,PrimaryCrop,TotalAreaUnderCultivation_km2,Annual_Water_Needs_mm,OnsiteStorage_other,Location_Address,SecondaryCrop,SoilClass,Region
McCain_initial42,CH_Hailar - Inner Mongolia,49.185011,119.8921719,,,,,,,,,TRUE,TRUE,FALSE,FALSE,3,8,,,600,,,,,CH
McCain_initial42,CH_Yuyang District - Shaanxi,38.46621071,109.5119253,,,,,,,,,TRUE,TRUE,FALSE,FALSE,3,8,,,600,,,,,CH
McCain_initial42,WA_Othello,46.77327571,-119.1491748,,,,,,,,,TRUE,TRUE,FALSE,FALSE,3,9,,,600,,,,,WA
McCain_initial42,AB_Taber,49.8291073,-112.1327137,,,,,,,,,TRUE,TRUE,FALSE,FALSE,4,9,,,600,,,,,AB
McCain_initial42,AB_Scandia,50.26958052,-112.0562337,,,,,,,,,TRUE,TRUE,FALSE,FALSE,4,9,,,600,,,,,AB
McCain_initial42,ID_Grand view,42.95086977,-115.8981439,,,,,,,,,TRUE,TRUE,FALSE,FALSE,3,9,,,600,,,,,ID
McCain_initial42,ID_Burley,42.56804061,-113.8542987,,,,,,,,,TRUE,TRUE,FALSE,FALSE,3,9,,,600,,,,,ID
McCain_initial42,MB_Portage la Prairie,49.95137816,-98.1919566,,,,,,,,,TRUE,TRUE,FALSE,FALSE,4,9,,,600,,,,,MB
McCain_initial42,MB_Carberry,49.96627142,-99.39399256,,,,,,,,,TRUE,TRUE,FALSE,FALSE,4,9,,,600,,,,,MB
McCain_initial42,WI_Spring Brook,44.79000502,-91.73534006,,,,,,,,,TRUE,TRUE,FALSE,FALSE,3,9,,,600,,,,,WI
McCain_initial42,WI_Plover,44.20821803,-89.54366941,,,,,,,,,TRUE,TRUE,FALSE,FALSE,3,9,,,600,,,,,WI
McCain_initial42,ME_Caribou,46.8504363,-67.87416395,,,,,,,,,TRUE,TRUE,FALSE,FALSE,4,9,,,600,,,,,NB
McCain_initial42,NB_Florenceville,46.43951808,-67.6385017,,,,,,,,,TRUE,TRUE,FALSE,FALSE,4,9,,,600,,,,,NB
McCain_initial42,CO_Bogota,4.832234135,-74.20071162,,,,,,,,,TRUE,TRUE,FALSE,FALSE,9,3,,,600,,,,,CO
McCain_initial42,AR_Balcarce,-37.80117765,-58.5086255,,,,,,,,,TRUE,TRUE,FALSE,FALSE,9,2,,,600,,,,,AR
McCain_initial42,BR_Sao Domigos,-12.82637666,-45.82613838,,,,,,,,,TRUE,TRUE,FALSE,FALSE,3,7,,,600,,,,,BR
McCain_initial42,BR_Chapeco,-26.52657452,-52.2760719,,,,,,,,,TRUE,TRUE,FALSE,FALSE,3,7,,,600,,,,,BR
